0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-50.74,1.34,-44.69,-88.24,13.88,-21.88,-93.3,16.89,-3.77,-88.59,13.44,10.74,-73.74,14.89,26.55
-50.72,1.33,-44.71,-88.27,13.78,-21.84,-93.32,16.84,-3.76,-88.6,13.4,10.74,-73.75,14.84,26.57
-50.76,1.32,-44.78,-88.35,13.91,-21.79,-93.4,16.9,-3.76,-88.7,13.39,10.74,-73.83,14.81,26.62
-50.74,1.32,-44.81,-88.34,14.05,-21.71,-93.39,16.95,-3.76,-88.71,13.36,10.73,-73.84,14.76,26.64
-50.71,1.32,-44.84,-88.32,14.21,-21.63,-93.37,17.01,-3.76,-88.71,13.34,10.71,-73.85,14.71,26.66
-50.73,1.29,-44.93,-88.44,14.18,-21.64,-93.49,16.99,-3.75,-88.83,13.3,10.73,-73.94,14.68,26.72
-50.69,1.26,-44.98,-88.45,14.14,-21.63,-93.51,16.94,-3.74,-88.85,13.23,10.74,-73.94,14.64,26.76
-50.72,1.22,-45.09,-88.57,14.18,-21.66,-93.66,16.9,-3.74,-89.0,13.13,10.76,-74.05,14.59,26.85
-50.67,1.18,-45.13,-88.56,14.2,-21.66,-93.69,16.84,-3.73,-89.02,13.01,10.76,-74.05,14.51,26.9
-50.7,1.14,-45.24,-88.67,14.25,-21.72,-93.84,16.79,-3.74,-89.18,12.89,10.78,-74.15,14.46,27.0
-50.65,1.1,-45.28,-88.66,14.28,-21.75,-93.87,16.71,-3.73,-89.21,12.75,10.78,-74.16,14.38,27.05
-50.61,1.06,-45.32,-88.64,14.32,-21.78,-93.9,16.63,-3.73,-89.24,12.6,10.78,-74.16,14.31,27.11
-50.66,1.02,-45.45,-88.79,14.36,-21.84,-94.09,16.6,-3.72,-89.42,12.53,10.8,-74.31,14.26,27.18
-50.61,0.97,-45.49,-88.79,14.38,-21.86,-94.12,16.54,-3.7,-89.45,12.43,10.8,-74.32,14.2,27.2
-50.68,0.94,-45.63,-88.98,14.38,-21.91,-94.33,16.53,-3.69,-89.65,12.39,10.81,-74.49,14.15,27.26
-50.65,0.91,-45.66,-88.99,14.34,-21.92,-94.35,16.49,-3.66,-89.67,12.32,10.79,-74.51,14.08,27.27
-50.76,0.92,-45.77,-89.18,14.41,-21.95,-94.55,16.55,-3.64,-89.86,12.35,10.8,-74.69,14.06,27.32
-50.77,0.94,-45.76,-89.18,14.46,-21.92,-94.55,16.57,-3.62,-89.86,12.37,10.77,-74.7,14.0,27.3
-50.78,0.96,-45.76,-89.17,14.51,-21.88,-94.54,16.6,-3.59,-89.86,12.39,10.75,-74.72,13.95,27.28
-50.97,1.15,-45.85,-89.41,14.59,-21.9,-94.8,16.62,-3.62,-90.11,12.37,10.71,-74.95,13.88,27.3
-51.04,1.36,-45.8,-89.41,14.64,-21.86,-94.81,16.59,-3.64,-90.13,12.32,10.64,-74.99,13.78,27.26
-51.37,1.83,-45.9,-89.74,14.75,-21.93,-95.22,16.49,-3.69,-90.5,12.21,10.59,-75.32,13.63,27.32
-51.59,2.49,-45.74,-89.72,14.81,-21.91,-95.28,16.31,-3.74,-90.53,12.04,10.49,-75.37,13.36,27.3
-52.13,3.3,-45.76,-90.19,14.81,-22.01,-95.85,16.08,-3.83,-91.06,11.7,10.47,-75.81,12.93,27.49
-52.42,4.16,-45.51,-90.21,14.73,-22.01,-96.07,15.36,-3.9,-91.17,11.08,10.41,-75.89,12.36,27.54
-52.7,4.99,-45.26,-90.24,14.63,-22.0,-96.31,14.52,-3.98,-91.28,10.41,10.34,-75.95,11.81,27.59
-53.05,5.29,-45.53,-90.8,14.76,-22.11,-97.12,13.85,-4.06,-91.97,9.66,10.39,-76.49,10.88,27.96
-53.08,5.56,-45.52,-90.8,14.8,-22.08,-97.29,13.18,-4.12,-92.06,8.9,10.35,-76.53,9.94,28.14
-53.44,5.89,-45.8,-91.37,14.97,-22.13,-98.09,12.51,-4.14,-92.72,8.26,10.44,-77.0,9.28,28.51
-53.46,6.18,-45.79,-91.37,15.05,-22.03,-98.25,11.79,-4.13,-92.77,7.62,10.46,-76.98,8.65,28.68
-53.48,6.47,-45.78,-91.37,15.13,-21.93,-98.39,11.11,-4.11,-92.82,7.03,10.49,-76.95,8.09,28.85
-53.78,6.68,-45.95,-91.81,15.28,-21.9,-98.93,10.82,-4.06,-93.27,6.8,10.58,-77.25,7.68,29.19
-53.83,6.85,-45.89,-91.81,15.37,-21.76,-98.99,10.53,-3.99,-93.28,6.58,10.63,-77.18,7.25,29.4
